Name,Nationality,Birthdate
James Cortez,Nicaragua,1970-02-08
Benjamin Sanchez,Israel,2004-06-12
Jose Rogers,Congo,1964-08-30
Lisa Love,Papua New Guinea,1989-03-15
Willie Wall,Liechtenstein,1973-02-25
Michael Wade,Botswana,1988-12-30
David Cooper,Tanzania,1990-07-16
Erin Hayes,Bolivia,1984-11-09
Robert Clayton,Saint Martin,1967-03-27
Jonathan Peters,Korea,1995-11-11
Scott Sanders,Canada,1969-01-23
Dorothy Weaver,Barbados,1980-07-14
Nathaniel Huber,Dominica,1980-11-30
Susan Meadows,Barbados,1971-05-24
John Crawford,Ethiopia,1984-06-13
Nicholas Russell,Guinea,1977-05-09
Brenda Barrera,Chad,2004-10-28
Renee Hughes,Taiwan,1984-02-01
Derrick Hickman,Papua New Guinea,1997-03-08
Tina Hart,Monaco,1999-05-15
Elizabeth Lambert,Samoa,1997-03-04
Erica Castillo,Sudan,2006-04-22
Angela Keith,Uruguay,1982-10-02
Gwendolyn Morgan,Singapore,1993-01-21
Amanda Jacobson,Thailand,1958-10-20
Gregory Ross,Kenya,1981-05-02
Daniel Terry,Saint Vincent and the Grenadines,1995-07-30
Timothy Garza,Comoros,1974-05-05
Bruce Deleon,Benin,1962-03-08
Jason Rodriguez,Singapore,1971-05-08
Andrew Schmidt,Martinique,1956-03-19
Brandy Caldwell,Antarctica (the territory South of 60 deg S),2001-11-01
Tammy Joseph,Mexico,2003-10-27
Austin Smith,United States Minor Outlying Islands,1984-08-19
Samuel Patterson,Cyprus,1977-06-25
Christina Wallace,French Polynesia,1995-01-18
Victoria Bennett,Italy,1979-08-11
Brian Fuller,Afghanistan,1972-06-05
Erika Trujillo,Taiwan,1999-09-11
Jason Mendoza,Ghana,1967-10-28
Christina Sanchez,India,1967-04-29
Leslie Newton,Guam,1968-05-07
Joshua Patel,San Marino,2005-04-03
Amber Gomez,Macao,1976-09-24
Samuel Rivera,Bhutan,1961-04-01
Casey Combs,Italy,1960-10-12
Jon Romero,Australia,1990-05-22
Kelli Torres,Thailand,1958-10-24
Bryan Stewart,Solomon Islands,1978-10-02
Amanda Jones,Mozambique,1989-08-07
Tammy Hayes,Maldives,1980-11-07
James Hardin,Russian Federation,1966-04-18
Jon Sanchez,Iran,1993-12-06
Kenneth Montes,Micronesia,1986-01-15
Brian Schmidt,Yemen,1984-06-30
Mr. Charles Harris Jr.,French Polynesia,1960-09-05
Marcia Pena,Russian Federation,1963-04-17
Ashley Levy,Myanmar,1988-10-15
Harry Evans,San Marino,1954-10-09
Matthew Campbell,Sweden,1963-08-17
Lisa Rodgers,Namibia,1955-12-08
Paige Taylor,Moldova,1982-09-30
Jason Mcdonald,Timor-Leste,1976-10-22
Jasmine Martin PhD,Morocco,2003-09-20
Sara Shannon,Slovakia (Slovak Republic),2004-04-21
Matthew Elliott,Svalbard & Jan Mayen Islands,2005-08-14
Kimberly Mitchell,Paraguay,1991-02-04
Joseph Dixon,Ireland,1966-09-01
Laura Harris,Nigeria,2000-04-03
Michele White,Sao Tome and Principe,1974-04-01
Sherry Kennedy,Guernsey,2003-06-24
Kristen Wilson,Czech Republic,1997-09-23
Robert Hicks,Azerbaijan,1972-02-02
Jennifer Chavez,Barbados,1985-06-07
Dr. Robin Hansen,New Caledonia,1961-02-24
Darren Weeks,Marshall Islands,2005-06-04
Emma Kim MD,Macao,1987-02-04
Cynthia Huff,Cote d'Ivoire,1976-02-22
John Olson,Nepal,2000-03-21
Peter Kennedy,Vanuatu,1963-04-14
Paul Marshall,Comoros,2002-12-13
Ryan Woods,Eritrea,1991-01-02
Patrick Stewart,Korea,1972-11-24
Jeremy Turner,Sri Lanka,1969-10-04
Samantha Schmidt,Togo,1971-02-19
Mary Vaughan,Montserrat,2005-04-07
Rose Diaz,Bosnia and Herzegovina,1994-05-22
Brian Fitzgerald,Lebanon,2001-05-06
Kimberly Cooper,Ghana,1978-05-21
Jason Kaiser,Pakistan,1973-07-11
Nicole Mathis,Martinique,1954-07-01
Christina Moss,Bangladesh,1999-07-24
Jeffrey Park,Christmas Island,1994-04-04
Troy Williams,Uruguay,1987-03-02
Stephanie Bennett,Portugal,1966-10-14
Joshua Hernandez,French Southern Territories,1987-01-23
Brenda Hammond,Korea,1956-11-06
Scott Russo,Saint Helena,1978-12-12
Tiffany Anderson,Congo,1982-05-21
Mark Brock,Ethiopia,2006-10-06
Susan Marshall,Honduras,1959-11-05
Megan Mejia,Saint Barthelemy,2003-04-13
Lynn Carpenter,Kyrgyz Republic,2004-10-24
Jason Trujillo,Zambia,2001-04-19
John Clark,Moldova,1972-04-08
Julie Todd PhD,Puerto Rico,1963-11-02
Laura Parrish,Uruguay,1960-07-09
Cassidy Armstrong,Fiji,1958-10-17
Tonya Fitzpatrick,Reunion,1965-10-28
Melissa Camacho,Serbia,2006-12-12
Gregory Jennings,El Salvador,1999-12-27
Jonathan Hill,Heard Island and McDonald Islands,1968-10-02
Lisa Flores,Ukraine,1982-02-02
Cynthia Green,Afghanistan,1956-09-20
James Johnson,United Kingdom,2002-06-30
Jessica Lee,Papua New Guinea,1970-01-20
Elizabeth Griffin,Suriname,1994-01-09
Heather Garcia,Switzerland,1996-01-18
Jessica Taylor,Congo,1961-11-03
Holly Warren,China,1999-01-30
Joshua Cruz,Niue,1965-02-26
Anthony Frazier,Swaziland,2000-04-15
Christine Ray,Thailand,1973-03-02
Joseph Moody,Northern Mariana Islands,1969-05-08
Shaun Lewis,Cote d'Ivoire,1958-02-22
Alan Spencer,Iceland,1956-03-24
Patrick Ponce,Canada,1981-04-04
Tony Haynes,Iraq,1970-07-10
Roger Campbell,Turks and Caicos Islands,1989-05-21
Bobby Davis,Sri Lanka,2006-12-10
Matthew Walker,Pitcairn Islands,1955-11-04
Amy Sampson,Bolivia,1974-08-01
James White,Sao Tome and Principe,2005-06-23
Heidi Flores,Barbados,1969-05-20
Mark Chavez,United States Minor Outlying Islands,2003-02-09
Brittany Jacobson,Guinea,1958-01-13
Madeline Dixon,Malta,1976-08-21
Nicholas Schroeder,San Marino,1956-04-30
Amy Cline,Uganda,1954-05-02
Alan Garcia,Estonia,1986-06-21
Jorge Walters,Botswana,2002-03-09
Stephanie Anderson,Georgia,1968-09-17
Jennifer Sims,Mayotte,1982-11-10
John Spears,Thailand,1997-11-16
Jessica Brown,Christmas Island,2002-04-20
Steven Schroeder,Montserrat,1964-05-06
David Houston,Kuwait,1958-01-19
Tim Mcdaniel,Saudi Arabia,1963-02-06
Allison Sanchez,Palestinian Territory,1955-05-13
Timothy Johnson,Jamaica,1976-12-29
Joshua Young,Cyprus,1988-10-31
Kathryn Miller,Korea,1984-06-24
David Patrick,Chile,1983-11-04
Kristen Martin,Sao Tome and Principe,1994-03-16
Aaron Logan,Madagascar,2004-10-16
Andrea Hartman,Cocos (Keeling) Islands,1956-07-12
Yvonne Gomez,Bouvet Island (Bouvetoya),1998-10-12
Kimberly Wilson,Suriname,1962-05-19
Carol Hanna,Thailand,1971-05-16
Norman Hatfield,Burkina Faso,1968-10-09
Amy Clay,French Polynesia,1966-08-28
Victor Christensen,Haiti,1956-06-09
Katelyn Burke,Suriname,1962-01-23
Kristina Wagner,Finland,1969-09-05
Tara Dudley,Philippines,1998-07-08
Mr. David Carlson,Nauru,1968-02-09
Kristina Kelly,Malta,1955-01-09
Alexander Jenkins,Equatorial Guinea,1997-07-12
Jason Sanchez,Brunei Darussalam,1985-04-27
Francisco Smith,Azerbaijan,1993-12-19
Michael Wyatt,Panama,1959-08-14
Sara Wilson,Brunei Darussalam,2002-04-23
Christopher Brown,Austria,1979-08-16
John Vazquez,Montenegro,1959-09-10
Calvin Ayers,Timor-Leste,1991-11-12
Michael Kelly,Marshall Islands,1990-01-10
Destiny Vaughan,Indonesia,1971-06-23
Nicole Mendoza,Slovakia (Slovak Republic),1968-10-01
James Smith,Burkina Faso,1965-08-15
Anthony Carter,Turkmenistan,1996-02-21
Charles Grant,Mayotte,1954-02-03
Kristopher Mason,Cape Verde,1972-11-08
Rachel Gregory,Myanmar,1987-02-21
Daniel Wright,Haiti,1960-03-17
James Schroeder,Greenland,1979-08-13
Casey Hull,Italy,1983-09-21
Taylor Robinson,Saint Vincent and the Grenadines,1959-03-28
John Jones,Germany,1961-12-06
Kristen Wright,Ecuador,1979-11-05
Brooke Greer,Yemen,1981-04-24
Connie Clark,Nigeria,1994-06-10
Kyle Taylor,Qatar,2000-10-11
Joseph Medina,Guatemala,1963-12-26
Kristin Mcdonald,Dominica,1969-05-24
Anna King,Sudan,1985-12-08
Elizabeth Good,Faroe Islands,1992-07-26
Sean Cole,Kyrgyz Republic,1955-12-20
Tiffany Williams,Israel,1978-04-29
Eric Carson,Iceland,2005-10-09
John Hayes,New Zealand,1974-05-30
Amanda Gonzalez,Poland,1967-04-21
Daniel Prince,Mauritius,2001-12-01
Anne Williams,Tonga,1993-07-15
Brian Craig,Turks and Caicos Islands,1970-08-21
Diana Lewis,Lebanon,1999-05-08
Renee Hurst,Macao,1988-12-31
Mary Pham,Philippines,1992-02-10
Laura Garcia,Ghana,1980-11-03
Jason Parker,Bangladesh,1960-04-20
Scott Gonzales,Moldova,2002-08-15
Timothy Rodriguez,Cameroon,1974-06-01
Melissa Dunn,Bangladesh,1983-05-01
Randy Larsen,Chad,1999-01-12
Loretta Abbott,Malawi,1973-06-17
Deanna Moses,Myanmar,1957-05-26
Allison Moreno,Bolivia,1992-02-13
Zachary Osborne,Turkey,1973-07-04
Darrell Mccarthy,Fiji,1965-05-18
Christina Moreno,Heard Island and McDonald Islands,1983-12-24
Alison Underwood,Jordan,1993-10-31
Dawn Mckinney,Tanzania,1959-01-26
April Brown,Saint Martin,1968-05-30
Jaclyn Williams,Dominican Republic,1995-01-16
Amber Henderson DVM,Armenia,1977-07-27
Katelyn Silva DDS,Central African Republic,1963-05-13
Mary Rivera,Somalia,1970-03-14
Daniel Adams,Namibia,1991-09-14
Natalie Hernandez,Tonga,1973-11-16
Maria Carlson,Portugal,1964-05-03
Mark Wiley,Falkland Islands (Malvinas),1977-08-12
Katie Houston,Taiwan,1983-09-15
Mary Acosta,Zimbabwe,1989-05-08
Susan Franco,Gibraltar,1963-12-12
Melissa Gomez,Rwanda,1985-04-13
Melissa Simpson,British Indian Ocean Territory (Chagos Archipelago),1983-08-06
James Tate,Botswana,1979-03-18
Mercedes Scott,Uzbekistan,1962-05-16
Ricky Williams,British Indian Ocean Territory (Chagos Archipelago),1964-08-29
Michael Bradford,Lao People's Democratic Republic,1972-09-02
Dr. Jeffrey Ewing,Turkmenistan,1977-09-30
Nancy Harrison MD,Croatia,1993-04-18
Jason Robles,French Polynesia,1963-06-20
Brooke Le,United States Virgin Islands,1955-04-04
Jorge Soto,Libyan Arab Jamahiriya,2002-02-26
James Fitzpatrick,Chad,1998-12-18
Charles Bailey,Egypt,2004-05-25
William Hall,Bangladesh,1970-11-22
Jason Blackwell,Brunei Darussalam,1971-10-15
Douglas Roman,Uganda,1981-03-01
Mrs. Christina Oliver,India,1990-10-10
Michael Warner,Antigua and Barbuda,1989-02-25
Thomas Young,Antarctica (the territory South of 60 deg S),1991-03-12
Kaitlin Davis,Burkina Faso,1962-03-18
Amy Cervantes,Jersey,1974-05-10
Wayne Mitchell,Albania,1971-03-14
Cassandra Moore,Pakistan,1960-01-18
Vanessa Ramirez,Grenada,1965-11-11
Vincent Mcgee,United States Minor Outlying Islands,1957-11-22
Alexandria Spencer,Bangladesh,1966-09-19
Amanda Cook,Czech Republic,1963-11-28
Reginald Wallace,Moldova,1994-02-21
Kristin Phillips,Grenada,1998-02-10
Brian Wilson,Kazakhstan,1954-08-07
Mary Holden,Algeria,1973-04-23
Lisa Brooks,Monaco,1975-02-16
Robert Roberts Jr.,Comoros,1972-03-22
Lauren Rosales,Qatar,1982-12-15
Christopher Peck,Monaco,1975-01-21
James Edwards,Anguilla,1955-11-12
Frances Reed,Haiti,1958-08-22
Tiffany Brennan,Kiribati,1990-10-31
Sean Gonzalez,Turkey,1981-08-15
Claudia Conley,China,1978-02-02
Preston King,Trinidad and Tobago,1971-09-22
Maureen Weber,Lithuania,1976-06-07
Craig Adams,Serbia,1958-09-26
James Flores,Wallis and Futuna,1991-02-07
Patricia Wright,Sudan,1961-06-28
Rachel Leach,Singapore,1977-11-03
Katrina Baird,Afghanistan,1959-09-10
Ashley Aguilar,Kenya,1957-11-03
Denise Schroeder,Moldova,1985-11-12
Danielle West,Somalia,2004-04-10
Pamela Lin,Saint Lucia,1997-05-27
Rhonda Shannon,Malaysia,1959-11-02
Lindsay Smith,American Samoa,1981-08-19
Jose Drake,New Caledonia,2000-04-04
Matthew Hays,Armenia,1982-12-22
Corey Campbell,Taiwan,1955-05-06
Kristen Figueroa DDS,Uganda,1956-07-25
Travis Walker,Norway,1981-06-22
Jessica Pham,Nauru,1956-01-10
Brian Young,Bangladesh,1959-02-28
Laura Barnes,Tuvalu,1961-04-10
Caitlyn Blanchard,French Guiana,2002-01-04
Sandra Parsons,Cambodia,1980-10-23
Michael Acosta,Mongolia,1981-10-06
Richard Williams,Svalbard & Jan Mayen Islands,1996-11-14
Samantha Logan,Estonia,1985-01-01
Erica Jones,China,1974-08-13
Brittany Sanchez,Belgium,1992-05-19
Jeffrey Butler,Poland,1972-10-07
Shelby Blake,India,1972-10-16
Tamara Welch,Croatia,1955-03-19
Loretta Atkinson,Gabon,1966-06-21
Megan Foster,Pakistan,1959-05-02
Andrew Cruz,Turkey,1992-05-21
Sherry Lee,Tuvalu,1960-11-28
Darrell Ruiz,Cameroon,2006-08-25
Veronica Tran,Liechtenstein,1974-06-11
Cody Garcia,Cuba,1989-06-29
Robin Randolph,Guyana,1979-12-24
James Gordon,American Samoa,1990-06-18
Christina Sanchez,Turks and Caicos Islands,2005-02-13
Jackie Schultz,Uzbekistan,1968-10-22
Mark Robertson,Guinea,1983-12-07
Beth Jackson,Jersey,1986-06-10
Louis Thompson,Papua New Guinea,2002-07-10
Charles Ellis,Portugal,1962-08-29
Joshua Miller,China,1978-12-02
David Patel,New Zealand,1993-03-15
Yvonne Sanford,North Macedonia,2006-06-26
Samantha Maxwell,Antigua and Barbuda,1962-07-17
Tanya Horn,Burkina Faso,2001-05-23
Scott Crawford,Philippines,2005-08-02
Justin Cox,United States Virgin Islands,1954-12-13
Mary Duncan,Ethiopia,1978-02-11
Mary Ramirez,Turkmenistan,1998-06-22
David Jones,Samoa,1965-07-04
Nancy Martinez,Marshall Islands,1976-11-10
Jessica Harrison,Montserrat,1987-10-11
Jennifer Tucker,Samoa,1967-08-19
Mr. Paul Marquez,Bhutan,1958-03-22
Elizabeth Arnold,Malawi,1967-04-11
Sarah Thompson,Andorra,1996-01-02
Jillian Dawson,Solomon Islands,1986-11-30
Daniel Delacruz,San Marino,2003-06-05
Frederick Vargas,Wallis and Futuna,1986-08-27
Carl Dyer,Lithuania,1979-04-14
Joy King,Kiribati,1989-10-03
Zachary Barrett,Mali,1981-11-11
Brandon Walls,Finland,1981-11-26
Andrew Dawson,Comoros,1982-03-01
Jennifer Cannon,Liechtenstein,1982-09-26
Elizabeth Shepherd,Andorra,1994-03-10
Donna Rivera,Portugal,1987-03-07
Patricia Wright,Panama,1980-08-31
Jillian Wells,Turkmenistan,1974-04-29
Miranda Sanchez,Namibia,1963-06-05
Carlos Fowler,Canada,2006-07-09
Emily Miller,Italy,1991-10-13
Kara Clements,Isle of Man,1993-07-21
Jesse Beck,Bangladesh,1981-07-23
Kellie Hamilton,Saint Barthelemy,1975-12-19
Shelley Kane,Greece,1986-10-13
Mark Spence,Myanmar,1961-03-02
Ashley Castro,San Marino,1977-03-27
Mark Ali,Austria,1958-08-22
Daniel Freeman,Jamaica,1961-04-21
Kathy Casey,Hong Kong,2000-10-28
Ralph Hart,Nigeria,2000-07-14
Laura Zimmerman,Micronesia,1987-03-30
Sean Taylor,Aruba,1983-03-02
Allison Johnson,Samoa,1967-07-21
Jennifer Butler,Azerbaijan,1974-12-13
Frank Morris,Guam,1959-09-19
Pamela Juarez,Mongolia,1991-01-26
Mark Mueller,Spain,1954-10-02
April Baker,Wallis and Futuna,1972-09-20
Stephanie Nelson,Palestinian Territory,1963-04-04
Stephanie Carter,Saint Helena,1990-09-12
Jessica Padilla,Brunei Darussalam,1986-10-28
Christina Williams,Guatemala,1960-02-07
John Paul,Bahrain,1963-07-21
Thomas Harris,Western Sahara,1966-06-19
Jeffrey Brooks,Kiribati,1990-01-15
Mr. Steven Buchanan Jr.,South Georgia and the South Sandwich Islands,1998-02-26
Scott Morris,Costa Rica,1989-04-14
Michael Garza,Netherlands Antilles,1958-11-22
Thomas Jones,Ukraine,1990-05-09
Jordan Sosa,Isle of Man,1958-07-13
Laura Johnson,Tajikistan,1968-01-05
Stephen Krause,Netherlands,1994-06-12
Denise Hernandez,Tanzania,2001-08-07
Julia Christensen,Chile,1969-05-15
James Mason,Sudan,1966-12-29
Amber Hernandez PhD,Iceland,2003-04-24
Laura Espinoza,Turks and Caicos Islands,1973-03-20
Monica Preston,Liechtenstein,1964-12-21
Karen Castro,Bermuda,1993-07-21
Casey Barker,Palau,1985-07-25
Sarah Adams,Saint Kitts and Nevis,1976-01-06
Teresa White,Honduras,1958-09-06
Margaret Lawson,Palestinian Territory,1975-06-20
Ashley Berry,Christmas Island,1999-08-16
Felicia Wolfe,Equatorial Guinea,1965-10-29
Amanda Flores,Norfolk Island,1986-01-30
Stephen Morales,Andorra,1957-04-11
James Dawson,British Indian Ocean Territory (Chagos Archipelago),1996-01-06
Michael Price,Azerbaijan,1977-08-11
Patrick Choi,Rwanda,1998-11-22
Eric Blankenship,Botswana,1958-10-20
Helen Boyer,Sao Tome and Principe,1964-05-13
Monica Goodman,Paraguay,1987-06-14
Holly Moore,Uzbekistan,1987-04-29
Robert Stewart,San Marino,1982-11-06
John Brown,Guyana,1969-10-24
Michelle Johnson,Benin,2006-04-02
Tamara Cruz,Serbia,1985-11-17
Eduardo Dunn,Swaziland,2003-11-14
Matthew Berry,Cuba,1995-02-18
Christy Anderson,Malawi,1984-04-27
Dennis Smith,Bahrain,1967-03-30
Sarah Mitchell,Guyana,1980-06-29
Chad Lawson,Bangladesh,1981-11-26
Mario Brooks,Saint Helena,1985-04-20
Nicole Kennedy,Papua New Guinea,2006-05-10
Justin Moore,Cyprus,1990-09-21
Carl Payne,Moldova,1979-12-29
William Kim,Albania,1995-07-21
Charles Osborne,Rwanda,1963-05-29
Rebecca Kelly,Cambodia,1982-10-18
Logan Garcia,Saint Kitts and Nevis,2001-05-18
Taylor Banks,French Southern Territories,1979-09-07
Joseph Collins,Saint Pierre and Miquelon,1980-06-12
Michael Flores,Korea,1990-04-14
Danielle Chang,Uzbekistan,2005-02-23
Dr. Molly Williams DDS,Vietnam,1982-08-15
Patrick Fuentes,Western Sahara,1972-08-04
Michael Daniels,Pakistan,1954-08-23
Ashley Hoffman,Norway,1983-06-25
Jennifer Wheeler,Spain,2005-03-20
Jeffrey Chapman,Kiribati,1982-03-04
Kimberly Simmons,Congo,1998-01-01
Elizabeth Farmer,Ecuador,2003-08-14
Robert Ramos,Samoa,1984-06-07
Christina Mendoza,Uganda,1999-08-15
Sean Schwartz,Uruguay,2001-04-24
Lisa Jones,Afghanistan,1963-08-14
Mr. Stephen Jimenez,France,2006-04-26
Victor Wilson,French Guiana,1954-06-20
April Kennedy,Sao Tome and Principe,1976-02-04
Sharon May,Japan,1962-09-10
Henry Matthews,Korea,1966-07-13
Jamie Armstrong,Sao Tome and Principe,1993-04-22
Brian Hawkins,Kazakhstan,1993-10-31
Dr. James Diaz,Nicaragua,1977-05-24
Hannah Cole,French Southern Territories,1980-10-28
Melanie Leach,Tunisia,1973-03-16
Brian Welch,Mauritania,1967-06-05
Tyler Sharp,Venezuela,1974-09-11
Dana Cunningham,Cocos (Keeling) Islands,1971-12-22
John Ramirez,Kazakhstan,1987-12-10
Daniel Hill,Korea,1977-07-24
Robert Floyd,United States Virgin Islands,1986-11-30
Nicole Wall,Latvia,1971-08-11
Seth Medina DVM,Brunei Darussalam,1992-09-21
Amanda Maxwell,Uruguay,1957-03-05
Emma Bell,Brazil,1977-03-25
Joshua Mitchell,Gibraltar,1992-08-30
Danny Turner,Colombia,1969-05-27
Matthew Kane,Bosnia and Herzegovina,2005-12-25
David Pace,United States Minor Outlying Islands,1956-12-09
Jennifer Young,Holy See (Vatican City State),2000-07-03
Miguel Salazar,Latvia,1970-08-21
Lauren Weaver,Montserrat,1974-12-29
Kathy Cross,British Indian Ocean Territory (Chagos Archipelago),1985-07-06
Kelly Castro,Serbia,1987-05-11
Kathy Heath,Cameroon,1995-04-04
Victoria Marshall,Wallis and Futuna,1976-07-12
Timothy Bryant,Mozambique,1987-12-29
Danielle Kim,Hungary,1975-11-03
Mary Forbes,Macao,1996-12-16
Vanessa Gibbs,Saudi Arabia,1956-12-08
Diamond Cox,Aruba,1977-07-10
James Landry,Ukraine,2005-07-30
Patricia Johnson MD,Vanuatu,1977-05-28
Christopher Herring,Iraq,1972-11-10
Christopher Roberts,Dominica,1954-11-03
Megan Rojas,Jamaica,1980-07-02
Jeremy Harris,Micronesia,1998-07-15
Theresa Ramos,Fiji,1996-06-28
Brandon Suarez,Solomon Islands,1998-11-12
Meagan Hendrix,Paraguay,1980-07-20
Gary Stewart,Cook Islands,1990-08-13
Holly Harmon,Guadeloupe,1986-10-17
Jeffrey Robinson,Niger,2004-02-15
Jesse Wolfe,Anguilla,1972-07-07
Sarah Ortiz,Israel,1977-10-10
Carl Rodriguez,Iceland,1983-01-10
Rachael Clayton,Cocos (Keeling) Islands,1979-08-20
Taylor Walker,Montenegro,2000-07-06
Brittney Roberts,Saint Kitts and Nevis,1984-05-27
Daniel Garcia,Dominican Republic,1954-02-21
Melissa Knight,Switzerland,2004-10-01
Daniel Russell,Eritrea,1990-03-26
Vanessa Coleman,Venezuela,1994-06-12
Jessica Martin,Mauritania,1974-12-04
Jason Villa,Lebanon,1979-06-28
Hannah Kelly PhD,Saint Pierre and Miquelon,2002-06-14
Donna Cochran,Ghana,2004-01-05
Maureen Ramos,United Arab Emirates,1988-12-06
Adam Williams,Greenland,1990-06-30
Kim Mendez,Macao,1983-01-22
Joshua Flores,Greece,1982-01-09
Grant Gordon,Saudi Arabia,1973-01-28
Chase Fox,Cape Verde,1969-04-12
Ricky Miller,Bahamas,1995-11-02
Taylor Turner,Ecuador,1960-03-16
Joseph Wilson,Seychelles,1990-01-28
Greg Richardson,Hong Kong,2005-05-17
Matthew Smith,Falkland Islands (Malvinas),1977-05-09
Amanda Williams,Switzerland,1970-07-16
Amanda Davidson,Namibia,1961-04-24
Allison Sawyer,Montserrat,1987-01-10
Matthew Collins,Somalia,1970-04-27
Jeffrey Bailey,Qatar,1999-03-07
Katie Williams,Philippines,1965-12-12
Christine Robinson,French Guiana,1979-10-31
Elizabeth Nguyen,Malawi,2002-07-28
Andrew Blair,Dominica,1972-07-13
Patricia Pitts,Papua New Guinea,1963-10-05
Mark Logan,Norfolk Island,1997-12-27
Michael Lambert,Argentina,1994-11-03
Debbie Lewis,United States of America,2004-04-04
Denise Dudley,United Arab Emirates,1992-05-24
Kimberly Doyle,Lithuania,1987-07-03
Ashley Smith,Morocco,1973-12-17
Amber Riley,Western Sahara,1977-09-28
Roger Farley,Macao,2005-05-06
Tracy Chung,United States Minor Outlying Islands,1983-09-27
Albert Hodge,Mayotte,1969-08-05
Meghan Dunn,Haiti,1956-11-26
Gabriel Pennington,Hungary,2006-10-05
David Moore,Guernsey,1965-08-14
Jeremy Watkins,Korea,1974-12-04
Candice Avila,Turks and Caicos Islands,1984-12-17
Rebecca Fowler,Western Sahara,1970-05-23
Andrew Brown,Mongolia,1988-04-30
Jocelyn Owens,Djibouti,1988-07-25
George Crawford,Venezuela,1976-06-30
Carrie Pace,Sweden,1958-05-19
Patricia West,Ukraine,1976-02-17
Derek Miranda,Heard Island and McDonald Islands,1963-11-01
Warren Fleming,Macao,1993-03-22
Steven Gutierrez,Nepal,1969-02-26
Mrs. Mary Combs,South Georgia and the South Sandwich Islands,2000-10-31
Tara Meyers,Moldova,1956-05-15
Karina Patterson,Angola,1985-12-18
Rhonda Wallace,Nepal,1974-10-17
Christopher Nolan,Svalbard & Jan Mayen Islands,1979-03-13
Michael Tucker,Palestinian Territory,1989-10-30
Dean Hines,Faroe Islands,1954-03-10
Michael Lee,Comoros,1968-12-22
Glenn Miller,Congo,1961-08-10
Michelle Guerra,Cote d'Ivoire,1982-04-11
Sharon Ward,Barbados,1998-08-29
Heather Spears,Trinidad and Tobago,2005-04-19
Charles Olson,Albania,1973-07-02
Kathy Brown,United Kingdom,1968-07-10
Tammy Terry,Kazakhstan,1962-04-18
James Harris,Antigua and Barbuda,1990-09-12
Luke Burns,Vietnam,1959-08-04
Brittany Harrison,Korea,1967-02-15
Jason Cole,United States Virgin Islands,1992-03-22
Jeffrey Mendez,United States Minor Outlying Islands,1980-11-09
Becky Walters,French Guiana,1994-05-30
Jill Mccarthy,Sao Tome and Principe,1969-08-08
Vanessa Roberts,New Caledonia,1986-05-15
Christina Burns,Northern Mariana Islands,2000-11-26
Sean Luna,Turks and Caicos Islands,1975-05-20
Michelle Munoz,Turkey,1954-04-02
Crystal Banks,Ukraine,1977-04-13
Pamela Johnson,Belarus,1975-01-15
Michelle Clark,Botswana,1979-08-23
Gloria Turner,United States Virgin Islands,1964-12-31
Connie Gonzalez,Palau,1970-11-29
Teresa Chandler,Malaysia,1954-11-04
Douglas Meyers,Cayman Islands,1967-03-27
Anthony Wilson,Nepal,1965-10-12
Melissa Rocha,Norway,2000-04-18
Andrea Gomez,Singapore,2000-12-05
Kristine Stephens,Bhutan,1973-01-22
Robert Dalton,Mozambique,1996-08-04
James Simmons,Macao,1976-04-12
Mike Gomez,French Guiana,1975-01-22
Jennifer Zhang,China,1996-12-03
Trevor Arnold,Netherlands,1960-12-29
Tina Garcia,Slovenia,1983-03-04
Sheila English,Norway,1959-04-10
Dana Williams,Israel,1960-08-26
Dylan Jones,Tonga,1979-06-15
Lauren Leblanc,Andorra,1974-12-05
Stacey Brown,Mongolia,2006-12-12
Hector Camacho,Jamaica,1982-02-24
James Hooper,Croatia,1976-03-15
James Conrad,Peru,2003-06-14
Andrew Mckay,Latvia,2006-03-31
Michael Chavez,Uzbekistan,1968-11-17
Albert Harvey,Netherlands,2001-05-16
Thomas Peterson,Somalia,1993-03-04
James Williams,Albania,1987-07-13
Dr. Katherine Palmer,Greece,2001-04-30
Joseph Ferguson,Marshall Islands,1986-08-29
Christopher Perez,British Indian Ocean Territory (Chagos Archipelago),2001-03-01
Brittany Mueller,Cote d'Ivoire,1963-03-05
Megan Thompson,Sierra Leone,1971-05-23
Edward Lambert,Philippines,1967-03-13
Sarah Phillips,Sierra Leone,2000-10-28
Martin Wagner,Iran,1995-09-28
Derrick Payne,Azerbaijan,1979-03-19
Sandra Thompson,Faroe Islands,1993-12-11
Jason George,Mali,1966-11-05
Heather Little,Haiti,1988-05-15
Thomas Stephens,Mauritius,1980-02-17
Shannon Porter,Kyrgyz Republic,2005-05-19
Amy Lopez,Kenya,1995-11-08
Shawn Leon,Seychelles,1973-03-23
Kathryn Campbell,Cote d'Ivoire,1966-07-17
Jade Fisher,Italy,1968-01-13
Bradley Sullivan,Bermuda,2000-12-31
Virginia Sellers,Greece,1963-11-05
Jessica Andersen,Sudan,2005-07-06
Keith Jones,Iceland,1993-05-26
James Massey,Denmark,1966-04-04
Edward Strong,Zimbabwe,1962-04-15
Arthur Miller,Kiribati,1960-06-04
Elizabeth Marshall,Saint Vincent and the Grenadines,1967-04-06
Brian Wade,Montserrat,1973-03-12
Linda Mckinney,Albania,1998-08-10
Faith Wise,South Georgia and the South Sandwich Islands,1996-11-11
